Volcano Number,Volcano Name,Eruption Number,Start Year,Start Month,Latitude,Longitude
345020,Rincon de la Vieja,20961,2014,9,10.83,-85.324
282110,Asosan,20960,2014,8,32.884,131.104
373030,Bardarbunga,20955,2014,8,64.633,-17.516
342110,Pacaya,22222,2014,8,14.382,-90.601
273030,Mayon,20959,2014,8,13.257,123.685
282050,Kuchinoerabujima,20952,2014,8,30.443,130.217
252140,Rabaul,20957,2014,7,-4.271,152.203
357090,Copahue,20954,2014,7,-37.856,-71.183
251020,Manam,20956,2014,6,-4.08,145.037
233020,"Fournaise, Piton de la",20919,2014,6,-21.244,55.708
267020,Karangetang,20914,2014,6,2.781,125.407
300120,Zhupanovsky,20908,2014,6,53.589,159.15
312030,Pavlof,20909,2014,5,55.417,-161.894
264050,Sangeang Api,20911,2014,5,-8.2,119.07
223020,Nyamuragira,20942,2014,5,-1.408,29.2
284141,Ahyi,20936,2014,4,20.42,145.03
263300,Semeru,22221,2014,4,-8.108,112.922
262000,Krakatau,20932,2014,3,-6.102,105.423
251030,Karkar,20910,2014,3,-4.649,145.964
263250,Merapi,20892,2014,3,-7.54,110.446
263180,Slamet,20933,2014,3,-7.242,109.208
263280,Kelut,20934,2014,2,-7.93,112.308
267020,Karangetang,20913,2014,2,2.781,125.407
344020,San Cristobal,20941,2014,2,12.702,-87.004
261140,Marapi,20931,2014,2,-0.38,100.474
255060,Kavachi,20920,2014,1,-8.991,157.979
311360,Shishaldin,20937,2014,1,54.756,-163.97
282110,Asosan,20935,2014,1,32.884,131.104
343100,San Miguel,20906,2013,12,13.434,-88.269
284096,Nishinoshima,20916,2013,11,27.247,140.874
263250,Merapi,20842,2013,11,-7.54,110.446
300120,Zhupanovsky,20907,2013,10,53.589,159.15
260010,Barren Island,20918,2013,10,12.278,93.858
263090,Tangkubanparahu,20987,2013,10,-6.77,107.6
221020,Zubair Group,21068,2013,9,15.05,42.18
344040,Telica,22195,2013,9,12.606,-86.84
261080,Sinabung,20818,2013,9,3.17,98.392
211060,Etna,20841,2013,9,37.748,14.999
354020,Ubinas,20832,2013,9,-16.355,-70.903
264250,Iliwerung,20912,2013,8,-8.53,123.57
300260,Klyuchevskoy,20786,2013,8,56.056,160.642
357120,Villarrica,20838,2013,7,-39.42,-71.93
252120,Ulawun,20835,2013,7,-5.05,151.33
312070,Veniaminof,20836,2013,6,56.17,-159.38
290260,Chirinkotan,20757,2013,6,48.98,153.48
344020,San Cristobal,20817,2013,6,12.702,-87.004
263300,Semeru,22220,2013,6,-8.108,112.922
282060,Kikai,20781,2013,6,30.793,130.305
261170,Kerinci,22216,2013,6,-1.697,101.264
345070,Turrialba,20831,2013,5,10.025,-83.767
312030,Pavlof,20807,2013,5,55.417,-161.894
273030,Mayon,20798,2013,5,13.257,123.685
355100,Lascar,20789,2013,4,-23.37,-67.73
342110,Pacaya,20802,2013,3,14.382,-90.601
